org	name	audit_client	relationship_owner
ravensbourne	Ravensbourne Underwriting	no	katie
thackeray	Thackeray Syndicate 2884	no	katie
harrow-point	Harrow Point Speciality	YES	audit partner
bellwether	Bellwether MGA	no	katie
copperfield	Copperfield Underwriting	no	katie
nine-elms	Nine Elms Risk	no	katie
aldgate	Aldgate & Vane	no	katie
pemberton	Pemberton Broking	no	katie
ashfield	Ashfield Partners	no	katie
trans-meridian	Trans-Meridian Re	no	katie
kestrel	Kestrel Re	no	katie
lattice	Lattice Capital	no	katie
duraflex	Duraflex Industries	no	unassigned
norton-hale	Norton Hale Logistics	no	unassigned
severn	Severn Chemical	no	unassigned
castleford	Castleford Mutual	no	katie
pallister	Pallister Speciality	no	katie
orwell	Orwell Marine	no	katie
stanhope	Stanhope Speciality	no	katie
sandbrook	Sandbrook Risk Services	no	katie
hexley	Hexley Group	no	miriam
calloway	Calloway Global	no	DISPUTED
whitcombe	Whitcombe LLP	no	market source
fenwick	Fenwick Ventures	no	market source
